close	open	ctc	otc	cto	oto	date	wkday	d1	d2	d3	d4	d5
12.06	12.61	-0.014815086	-0.044595959	0.029780873	0.004769484	2013412	6	0	0	0	0	1
12.24	12.55	-0.009756175	-0.025011388	0.015255214	-0.008726751	2013411	5	0	0	0	1	0
12.36	12.66	-0.038099846	-0.023981965	-0.014117882	-0.034927881	2013410	4	0	0	1	0	0
12.84	13.11	-0.026893668	-0.02081	-0.006083669	-0.068535101	2013409	3	0	1	0	0	0
13.19	14.04	-0.053867688	-0.062451432	0.008583744	-0.107921337	2013408	2	1	0	0	0	0
13.92	15.64	0.002157498	-0.11650508	0.118662578	0.103656938	2013405	6	0	0	0	0	1
13.89	14.1	-0.022776785	-0.015005641	-0.007771145	0.108517582	2013404	5	0	0	0	1	0
14.21	12.65	0.106064493	0.116288727	-0.010224234	-0.035718083	2013403	4	0	0	1	0	0
12.78	13.11	-0.060716673	-0.025493849	-0.035222824	-0.026347026	2013402	3	0	1	0	0	0
13.58	13.46	0.066996129	0.008875798	0.058120331	0.041720119	2013401	2	1	0	0	0	0
12.7	12.91	-0.034819765	-0.016400211	-0.018419554	-0.060852417	2013328	5	0	0	0	1	0
13.15	13.72	0.029323089	-0.042432864	0.071755952	0.057758834	2013327	4	0	0	1	0	0
12.77	12.95	-0.073212617	-0.013997118	-0.059215499	0.007751977	2013326	3	0	1	0	0	0
13.74	12.85	0.012449813	0.066967475	-0.054517663	-0.037423229	2013325	2	1	0	0	0	0
13.57	13.34	-0.030481315	0.017094433	-0.047575748	0.020447513	2013322	6	0	0	0	0	1
13.99	13.07	0.099105794	0.068023261	0.031082533	-0.008381001	2013321	5	0	0	0	1	0
12.67	13.18	-0.127296527	-0.039463535	-0.087832992	0.011446138	2013320	4	0	0	1	0	0
14.39	13.03	0.074268353	0.09927913	-0.025010777	-0.033210599	2013319	3	0	1	0	0	0
13.36	13.47	0.167462442	-0.008199822	0.175662265	0.156380335	2013318	2	1	0	0	0	0
11.3	11.52	0	-0.01928193	0.01928193	-0.015504187	2013315	6	0	0	0	0	1
11.3	11.7	-0.045835952	-0.034786116	-0.011049836	-0.04020642	2013314	5	0	0	0	1	0
11.83	12.18	-0.036518581	-0.029156584	-0.007361996	0.032543548	2013313	4	0	0	1	0	0
12.27	11.79	0.059606395	0.039905544	0.019700851	-0.043160226	2013312	3	0	1	0	0	0
11.56	12.31	-0.085351985	-0.062861077	-0.022490908	-0.028825054	2013311	2	1	0	0	0	0
12.59	12.67	-0.036651276	-0.006334146	-0.03031713	-0.059742112	2013308	6	0	0	0	0	1
13.06	13.45	-0.035355318	-0.029424982	-0.005930336	0.020278577	2013307	5	0	0	0	1	0
13.53	13.18	0.003702337	0.026208913	-0.022506576	-0.019534806	2013306	4	0	0	1	0	0
13.48	13.44	-0.038564255	0.00297177	-0.041536025	-0.184303718	2013305	3	0	1	0	0	0
14.01	16.16	-0.091995367	-0.142767693	0.050772325	0.003719781	2013304	2	1	0	0	0	0
15.36	16.1	-0.009718249	-0.047052544	0.037334295	0.070769071	2013301	6	0	0	0	0	1
15.51	15	0.051598747	0.033434776	0.018163971	-0.09954363	2013228	5	0	0	0	1	0
14.73	16.57	-0.135650666	-0.117707601	-0.017943065	-0.054607049	2013227	4	0	0	1	0	0
16.87	17.5	-0.118375628	-0.036663984	-0.081711644	0.245535242	2013226	3	0	1	0	0	0
18.99	13.69	0.292785471	0.327246886	-0.034461414	-0.064355889	2013225	2	1	0	0	0	0
14.17	14.6	-0.071483299	-0.029894475	-0.041588824	-0.005464494	2013222	6	0	0	0	0	1
15.22	14.68	0.036124329	0.036124329	0	0.175262065	2013221	5	0	0	0	1	0
14.68	12.32	0.176074083	0.175262065	0.000812018	-0.039002158	2013220	4	0	0	1	0	0
12.31	12.81	-0.012111573	-0.039814176	0.027702603	0.026900356	2013219	3	0	1	0	0	0
12.46	12.47	-0.015923903	-0.000802246	-0.015121657	-0.064438276	2013215	6	0	0	0	0	1
12.66	13.3	-0.024962295	-0.049316619	0.024354324	0.032088315	2013214	5	0	0	0	1	0
